"App","Attribution","ReceivedMB","SentMB","TotalMB","TotalGB"
"baidunetdiskhost.exe","D:\\03_downloads\baidunetdisk\module\browserengine\baidunetdiskhost.exe","424.05","27983.48","28407.53","27.742"
"chrome.exe","C:\\program files\google\chrome\application\chrome.exe","6977.59","3961","10938.59","10.682"
"verge-mihomo.exe","D:\\dns\verge-mihomo.exe","937.45","108.36","1045.81","1.021"
"code.exe","D:\\vscode\code.exe","314.37","5.41","319.78","0.312"
"weixin.exe","D:\\weixin\weixin.exe","14.73","4.75","19.48","0.019"
"(System/Unknown)","(System/Unknown)","13.29","4.93","18.22","0.018"
"git-remote-https.exe","D:\\git\git\mingw64\libexec\git-core\git-remote-https.exe","17.39","0.11","17.5","0.017"
"baidunetdiskunite.exe","D:\\03_downloads\baidunetdisk\module\browserengine\baidunetdiskunite.exe","6.88","8.97","15.86","0.015"
"mumuvmmheadless.exe","C:\\program files\mumuvmmvbox\hypervisor\mumuvmmheadless.exe","5.37","3.02","8.39","0.008"
"wechatappex.exe","C:\\users\brecloud\appdata\roaming\tencent\xwechat\xplugin\plugins\radiumwmpf\19201\extracted\runtime\wechatappex.exe","5.86","1.22","7.08","0.007"
"baidunetdisk.exe","D:\\03_downloads\baidunetdisk\baidunetdisk.exe","0.82","0.5","1.31","0.001"
"nvdisplay.container.exe","C:\\windows\system32\driverstore\filerepository\nv_dispsi.inf_amd64_671c0a23616db704\display.nvcontainer\nvdisplay.container.exe","1.03","0.06","1.09","0.001"
"mumuplayer.exe","D:\\mumu player 12\shell\mumuplayer.exe","0.65","0.36","1.01","0.001"
"Microsoft.Windows.Search_cw5n1h2txyewy","Microsoft.Windows.Search_cw5n1h2txyewy","0.78","0.2","0.98","0.001"
"Microsoft.WindowsStore_8wekyb3d8bbwe","Microsoft.WindowsStore_8wekyb3d8bbwe","0.92","0.02","0.93","0.001"
"powershell.exe","C:\\windows\system32\windowspowershell\v1.0\powershell.exe","0.73","0.19","0.92","0.001"
"officec2rclient.exe","C:\\program files\common files\microsoft shared\clicktorun\officec2rclient.exe","0.58","0.19","0.77","0.001"
"sdxhelper.exe","C:\\program files\microsoft office\root\office16\sdxhelper.exe","0.62","0.07","0.69","0.001"
"msedge.exe","C:\\program files (x86)\microsoft\edge\application\msedge.exe","0.35","0.16","0.51","0"
"System\IPv6 Control Message","System\IPv6 Control Message","0.22","0.23","0.45","0"
"winmessage.exe","C:\\utools\winmessage.exe","0.12","0.32","0.45","0"
"officeclicktorun.exe","C:\\program files\common files\microsoft shared\clicktorun\updates\16.0.19822.20114\officeclicktorun.exe","0.32","0.06","0.38","0"
"nvidia overlay.exe","C:\\program files\nvidia corporation\nvidia app\cef\nvidia overlay.exe","0.19","0.18","0.36","0"
"officeclicktorun.exe","C:\\program files\common files\microsoft shared\clicktorun\updates\16.0.19725.20190\officeclicktorun.exe","0.27","0.06","0.34","0"
"node.exe","C:\\program files\nodejs\node.exe","0.22","0.05","0.28","0"
"officeclicktorun.exe","C:\\program files\common files\microsoft shared\clicktorun\officeclicktorun.exe","0.17","0.07","0.25","0"
"codex.exe","D:\\vscode\.vscode_extensions\openai.chatgpt-26.323.20928-win32-x64\bin\windows-x86_64\codex.exe","0.22","0.01","0.23","0"
"taskhostw.exe","C:\\windows\system32\taskhostw.exe","0.13","0.06","0.19","0"
"obsidian.exe","D:\\obsidian\obsidian.exe","0.1","0.08","0.18","0"
"nvcontainer.exe","C:\\program files\nvidia corporation\nvcontainer\nvcontainer.exe","0.12","0.05","0.17","0"
"onedrive.exe","C:\\users\brecloud\appdata\local\microsoft\onedrive\onedrive.exe","0.13","0.03","0.16","0"
"clash-verge.exe","D:\\dns\clash-verge.exe","0.15","0.01","0.16","0"
"chsime.exe","C:\\windows\system32\inputmethod\chs\chsime.exe","0.11","0.02","0.14","0"
"MicrosoftWindows.Client.CBS_cw5n1h2txyewy","MicrosoftWindows.Client.CBS_cw5n1h2txyewy","0.1","0.02","0.12","0"
"mumuplayerservice.exe","D:\\mumu player 12\shell\mumuplayerservice.exe","0.06","0.05","0.11","0"
"Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy","Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy","0.07","0.03","0.09","0"
"onedrive.sync.service.exe","C:\\users\brecloud\appdata\local\microsoft\onedrive\26.035.0222.0002\onedrive.sync.service.exe","0.05","0.02","0.06","0"
"windows.immersivecontrolpanel_cw5n1h2txyewy","windows.immersivecontrolpanel_cw5n1h2txyewy","0.04","0.02","0.06","0"
"nvngx_update.exe","C:\\windows\system32\driverstore\filerepository\nv_dispsi.inf_amd64_671c0a23616db704\nvngx_update.exe","0.04","0.01","0.05","0"
"microsoftedgeupdate.exe","C:\\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe","0.03","0.02","0.05","0"
"onedrivestandaloneupdater.exe","C:\\users\brecloud\appdata\local\microsoft\onedrive\onedrivestandaloneupdater.exe","0.03","0.01","0.04","0"
"microsoftedgeupdate.exe","C:\\users\brecloud\appdata\local\microsoft\edgeupdate\microsoftedgeupdate.exe","0.03","0.01","0.04","0"
"msedgewebview2.exe","C:\\program files (x86)\microsoft\edgewebview\application\146.0.3856.72\msedgewebview2.exe","0.02","0.01","0.03","0"
"mousocoreworker.exe","C:\\windows\system32\mousocoreworker.exe","0.02","0.01","0.03","0"
"integrator.exe","C:\\program files\microsoft office\root\integration\integrator.exe","0.01","0.01","0.02","0"
"sihclient.exe","C:\\windows\system32\sihclient.exe","0.01","0.01","0.02","0"
"explorer.exe","C:\\windows\explorer.exe","0.02","0","0.02","0"
"autoupdate.exe","D:\\03_downloads\baidunetdisk\autoupdate\autoupdate.exe","0.01","0.01","0.02","0"
"claude.exe","D:\\vscode\.vscode_extensions\anthropic.claude-code-2.1.81-win32-x64\resources\native-binary\claude.exe","0.01","0","0.01","0"
"Microsoft.YourPhone_8wekyb3d8bbwe","Microsoft.YourPhone_8wekyb3d8bbwe","0.01","0","0.01","0"
"smartscreen.exe","C:\\windows\system32\smartscreen.exe","0.01","0","0.01","0"
"System","System","0","0.01","0.01","0"
"dmclient.exe","C:\\windows\system32\dmclient.exe","0.01","0","0.01","0"
"pureref.exe","D:\\pureref\pureref.exe","0","0","0.01","0"
"lsass.exe","C:\\windows\system32\lsass.exe","0","0","0","0"
